id	Kingdom	Phylum	Class	Order	Family	Genus	Species
TOB5_000059401	Streptophyta	Streptophyta_unclass	Streptophyta_unclass	Streptophyta_unclass	Streptophyta_unclass	Streptophyta_unclass	Streptophyta_unclass
TOB5_000059404	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059421	Opisthokonta	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass
TOB5_000059432	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya_unclass
TOB5_000059450	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059480	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059498	Hacrobia	Cryptophyta	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass
TOB5_000059652	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059677	Alveolata	Ciliophora	Oligotrichea	Tintinnida	Tintinnida_unclass	Tintinnida_unclass	Tintinnida_unclass
TOB5_000059783	Alveolata	Ciliophora	Ciliophora_unclass	Ciliophora_unclass	Ciliophora_unclass	Ciliophora_unclass	Ciliophora_unclass
TOB5_000059787	Metazoa	Arthropoda	Malacostraca	Euphausiacea	Euphausiacea_unclass	Euphausiacea_unclass	Euphausiacea_unclass
TOB5_000059814	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059880	Rhizaria	Cercozoa	Cercozoa_unclass	Cercozoa_unclass	Cercozoa_unclass	Cercozoa_unclass	Cercozoa_unclass
TOB5_000059882	Hacrobia	Haptophyta	Picomonadea	Picomonadida	Picomonadidae	Picomonas	Picomonas judraskeda
TOB5_000059971	Metazoa	Metazoa_unclass	Metazoa_unclass	Metazoa_unclass	Metazoa_unclass	Metazoa_unclass	Metazoa_unclass
TOB5_000059985	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000059999	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Melosirales	Stephanopyxidaceae	Stephanopyxis	Stephanopyxis turris
TOB5_000060027	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060041	Hacrobia	Haptophyta	Haptophyceae	Haptophyceae_unclass	Haptophyceae_unclass	Haptophyceae_unclass	Haptophyceae_unclass
TOB5_000060059	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060120	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060124	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060128	Hacrobia	Cryptophyta	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass
TOB5_000060176	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060177	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060272	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060277	Hacrobia	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Geminigeraceae_unclass	Geminigeraceae_unclass
TOB5_000060396	Hacrobia	Cryptophyta	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass	Cryptophyta_unclass
TOB5_000060495	Metazoa	Arthropoda	Maxillopoda	Calanoida	Calanoida_unclass	Calanoida_unclass	Calanoida_unclass
TOB5_000060508	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060541	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060547	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000060552	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
